titulo,empresa,descripcion
Coordinador de Desarrollo de software,HUMANA SENTIDO EMPRESARIAL,"Coordinador de Desarrollo de SoftwareDescripción: Ejecutivo Experto en la Arquitectura de Sistemas y Desarrollo de Software y con habilidades Gerenciales y Liderazgo para la alineación de Equipos de Trabajo Multidisciplinarios en la Integración de Proyectos de Comercio Digital. Planeando e Implementando Metodologías de Desarrollo de Software, Estrategias y Sistemas de Mejora Contínua en los diferentes Procesos e Integraciones del Omnichanel de la Compañía.Requisitos: Edad: 30 a 40 añosEscolaridad: Ing. En Sistemas Computación, Ing. De Software, Lic. En Informática o afínExperiencia: 10 años de experiencia comprobable en Desarrollo de SoftwareInglés Avanzado IndispensableCon amplia disponibilidad de horarioConocimientos Avanzados en: 1. Arquitectura y Desarrollo de Sistemas2. Metodologías de desarrollo de software: Scrum, Agile, Waterfall. (avanzado)3. Ciclo de vida del software y lenguajes de programación (Java, .NET, C++, Delphi, Script, HTML).4. Desarrollo de Aplicaciones5. Desarrollo de Front End (Javascript (Lenguaje, Frameworks como React, Node, etc)6. CSS, HTML, JEE (JSP, Servlets, MVC Struts, Spring Framework)7. Desarrollo Web en Back End8. Manejo de Web Services SOAP y API REST9. Análisis de datos10. Plataformas de Pago (Cybersource, PayPal, Mercado Pago)11. Diseño de UX (web y App)12. Principios de Diseño de Sitios Web13. Plataformas Ecommerce (Magento, WooCommerce, Prestashop, etc)14. Integración HCL Websphere Commerce (indispensable)15. IBM Sterling Order Management16. Análisis de estadísticas de sitios web, Google Analytics, etc17. Optimización SEOCompetencias: Ø Líder Asertivo y dinámicoØ Alta Capacidad Intelectual y de AnálisisØ Proactivo y de Alto EmpujeØ CreativoØ ComunicaciónØ Trabajo en equipoØ Trabajo bajo presiónØ Alto nivel de ResponsabilidadØ Iniciativa y Buen JuicioØ Solución de problemasØ Toma de decisionesØ Orientado a resultadosØ Pensamiento estratégicoØ Planeación y administración de tiempoØ Desarrollo de Equipos de Alto RendimientoØ Actitud Positiva y Colaborativa Orientada al servicioØ Ética y ProfesionalismoOfrecemos: Sueldo base de $37,000 a $40,000 nominales más Prestaciones de Ley. Horario de Lunes a Viernes 8:00 am a 6:00 pm. Interesados registrarse a nuestro sitio web W W W . H U M A N A . C O M . M X y enviar CV al correo c o n s u l t o r i a @ h u m a n a . c o m . m x CON ASUNTO: Desarrollador de SoftwareTipo de puesto: Tiempo completo, IndefinidoSalario: $37,000.00 - $40,000.00 al mesExperiencia:Desarrollo de software: 10 años (Requisito deseable)Trabajar desde casa:No"
Desarrolladores de Back-End,Bolteck,"Requisitos:
Experiencia en PHP, Laravel, cron jobs, MVC

Excelentes habilidades de análisis y diseño orientado a objetos.

Diseño, modelado y programación de bases de datos (mySQL)

Desarrollo de Front end utilizando HTML5, CSS, JavaScript, Bootstrap, AngularJS

Tipo de Puesto:


Freelance
Experiencia requerida:

Laravel: 2 años

AngularJS: 1 año"
.NET Developer Architec,Zielteck,"Importante Empresa Solicita:DESARROLLADOR .NET NIVEL SR.Capaz de realizar migración de nuestras plataformas principales de .NET Framework 4.8 a .NET 5OFRECEMOS:Salario 100% integrado en Nomina.- Aguinaldo de 30 días.- Vacaciones de 10 días a partir del segundo año.- Fondo de ahorro.- Vales de despensa.- Home Office al 80% (100% durante periodo COVID).- Equipo de cómputo de última generación.- Excelente ambiente de trabajo.- Demás prestaciones de Ley (Ejemplo: PTU).- Nivel de conocimientos Senior en lenguaje C#- Nivel intermedio de Ingles (Hablado, Escrito, Leído).- Gran capacidad analítica para resolución de problemas- Alto nivel de competencia y experiencia en las siguientes tecnologías: o ASP .NET MVC o ASP .NET Web API o Windows Communication Foundation (WCF) o JavaScript, HTML 5, CSS 3 & Bootstrap o LINQ o Entity Framework -Alto nivel de experiencia en bases de datos Microsoft SQL Server (Manejo de Transact-SQL, Modelado).- Experiencia en buenas prácticas de desarrollo en C#.- Capacidad para priorizar y atender múltiples tareas de forma paralela. - Gusto por compartir conocimiento y capacidad para aprender de manera autodidacta.Tipo de puesto: Tiempo completo, Por contrato, IndefinidoSalario: $38,000.00 - $42,000.00 al mesHorario:Turno de 8 horasExperiencia:c#: 5 años (Requisito mínimo)Trabajar desde casa:Sí, ocasionalmente"
Desarrollador Web,Weldmation de Mexico,"Funciones específicas· Mantenimiento y soporte a Software y sistemas existentes en el área de manufactura por medio de tecnología Visual Studio en lenguaje C# y/o VB.Net.· Desarrollos de mejoras, pruebas y puesta en marcha a sistemas existentes de acuerdo a las necesidades del departamento.· Documentación de actividades realizadas.· Actualización y gestión de versiones de sistemas por medio de GITHUB de acuerdo a las necesidades del departamento.· Reparación de fallas (Bugs) de sistemas existentes de acuerdo a las necesidades del departamento.· Diseño y desarrollo aplicaciones Cliente Servidor (.net c# MVC)· Diseño y desarrollo aplicaciones .exe (c#)· Diseño e interacción Bases de Datos SQL Server· Recolección, análisis de información (trato con usuarios)· Pruebas de funcionalidad de las aplicaciones· Documentación de proyectos.Duración del contrato: 12 mesesFecha de inicio prevista: 9/11/2020Tipo de puesto: Tiempo completo, Por contratoSalario: A partir de $25,000.00 al mesHorario:Lunes a viernesTurno de 10 horasTurno de 8 horasExperiencia:Ingeniería de Software: 5 años (Requisito deseable)Trabajar desde casa:No"
Full Stack Developer,Parkimovil,"Perfil:Experiencia: 2 años en un puesto similar.Manejo de los lenguajes de programación: NodeJs, Delphi, PHP, C, Java.Manejo de frameworks/librerias: React, React Native, Backbone, Next, Angular, Electron, Ionic, Flutter.Manejo de Bases de datos: SQl server, Mysql, Mongo DB, Firebase.Ingles intermedio.Misión del puesto:Brindar al departamento y a la empresa la funcionalidad técnica a nivel programación Full stack así cómo la satisfacción de uso de los diferentes desarrollos al cliente y usuario de Parkimovil.Funciones:Desarrollar la lógica de programación de sistemas de cobro negocio para productos de acuerdo a las reglas que se tiene cada una de las plazas.*
Desarrollador de aplicaciones web, dispositivos moviles, diseño aplicaciones de realidad aumentada. He sido líder del equipo de desarrollo en el área de retail, además de ser coordinador de la implementación de ERP.Desarrollo de proyectos de punta a punta (Valet parking / otro desarrollo)Integrar la lógica al sistema para poder asignar promociones por tiendas y cupones .Desarrollar pruebas de testeo sobre los desarrollos .Control los niveles de tiempos y dar la visibilidad de los % avance de los proyectos abiertos en el área de full stack y dar visibilidad al PMO y CTO .*
Hacer testeo de desarrollos nuevos y/o actualizaciones.Establecimiento de propuestas a problemas recurrentes, resolviendo desde las causas y calculando el efecto .Tipo de puesto: Tiempo completo, IndefinidoSalario: $20,000.00 - $30,000.00 al mesHorario:Lunes a viernesTurno de 8 horasExperiencia:full stack: 1 año (Requisito mínimo)"
Data Scientist,BEST PRACTICES CONSULTING SA DE CV,"Objetivo del rol: Diseño de arquitecturas, planes de implementación, mejores prácticas, y pruebas con muchos terabytes de datos, lo cual es la base para analíticos avanzados y tareas de Machine Learning que deben ser aplicadas por el científico de datos.Tareas a realizar: · Diseñar e implementar características de análisis de datos en colaboración con desarrolladores, analistas, arquitectos de TI, y áreas de negocio usando metodologías Agile/Scrum.· Diseñar e implementar plataformas de datos de gran escala, con requerimientos de escalabilidad y alto desempeño, integrando datos de varias fuentes, manejar datos estructurados y no-estructurados en combinación con estrucuturas de Data Warehouse.· Analizar, realizar diagnóstico e identificar cuellos de botella en flujos de datos· Participar en demos a los clientes· Monitoreo y reportar el performance de los sistemas de administración de datos (Data Management)Requisitos:· Habilidades de programación avanzada· Bases de ingeniería, incluyendo buenas prácticas de programación y diseño de arquitecturas· Experiencia con lenguaje Python y plataformas Spark· Experiencia con ingeniería de datos de gran-escala, incluyendo analíticos y reportes BI· Experiencia construyendo soluciones Data Lake escalables, tiempo-real y alto-performace· Conocimiento en diseño e implementación de procesos ETL (Extract, Transform, Load), usando grandes volúmenes de datos· Ingles avanzadoBackground: · Carrera en Matemáticas, Economía, Física, Computación, o equivalenteFecha límite para enviar la solicitud: 18/11/2020Fecha de inicio prevista 4/11/2020Tipo de puesto: Tiempo completo, IndefinidoSalario: Hasta $25,000.00 al mesHorario:Lunes a viernesUbicación:Querétaro, Qro. (Requisito deseable)Trabajar desde casa:Temporalmente debido al COVID-19"
Desarrollador .Net y de Bases de datos,RecluIT,"DESARROLLADOR .Net y de Bases de DatosExperiencia 2 años: 
C#, Visual Studio 2005, 2010
.Net Framework 2.0, 4.0
SQL Server
Desarrollo en PLSQL
Data Stech (ETL).
SQL Plus Ver. 9.2.
SQL Developer Ver. 18.1.0.095.
SQL Studio.
Oracle (2 años de experiencia comprobables)
ORACLE (Suite de Desarrollo).
Base de Datos – Ver. 11.
Oracle Forms.*Skills Deseables*Bitbucket, Bamboo, SourceTree, Service Now.Recibes: $22,500 libresPrestaciones de ley:IMSSInfonavit6 días de vacaciones el primer año25% prima vacacional15 días de aguinaldoPrestaciones superiores:
Seguro de gastos médicos mayoresSeguro de vidaTarjeta de descuentosGastos funerariosSeguro Odontológico y oftalmológicoTipo de puesto: Tiempo completo, IndefinidoSalario: $22,000.00 - $22,500.00 al mesExperiencia:.Net: 2 años (Requisito mínimo)Oracle suite Developer: 2 años (Requisito mínimo)SQL Developer: 2 años (Requisito mínimo)Datastage ETL: 2 años (Requisito mínimo)Trabajar desde casa:Sí, temporalmente debido a la COVID-19"
Desarrollador Backend,Growth Partners Up,"Importante empresa de desarrollo Web busca talento:Licenciatura o ingeniería en Sistemas de Cómputo, ciencias de la computación, informática o tecnologías.2 años de experiencia en desarrollo webConocimientos sólidos en los siguientes lenguajes:
o SQL
o No SQL
o Node.JsConocimientos en las siguientes herramientas:
o Firebase Suit
o Mejores prácticas en
node.js
o Mejores prácticas en DB
SQL
o Pubnub Logical under
API
o AWS EC2 Instances
o AWS RDS Instances
o API - Logic between
microservices and
response
o API - Backen Contracts
o API - OAuth 2.o
o Store data on posgresql
at AWS
o Backend Cards
o Push Notification with
PubNub
o Backend recommendations
Managements and User
leves
o Dynamic DB service on Go
o Backend Image Mapper
o AWS S3 Storage
o Backend Error InjectorConocimiento en gestores de base de datos como:
o Relacionales: (SQL)PosgressNo relacionales (NoSQL)Firebase CloudStorageResponsabilidades del Puesto:
1. Desarrollar aplicaciones de cómputo innovadoras de acuerdo con diversos
estándares internacionales y en los tiempos establecidos.
2. Seleccionar las herramientas adecuadas para el mejor desempeño de
proyecto.
3. Dar solución a los bugs que se presentan en los desarrollos.
4. Desarrollar aplicaciones con tecnología web.
5. Informar de los avances de los proyectos.
6. Medir y Planificar proyectos de Software.
7. Asesorar al equipo técnico y no técnico de las mejores prácticas de la
industria para cada proyecto.
8. Garantizar la seguridad en todos sus procesos de desarrollo.
9. Administrar la estructura de bases de datos para asegurar su funcionamiento,
seguridad e integridad.
10. Evaluar sistemas nuevos y existentes.Tipo de puesto: Tiempo completo, IndefinidoSalario: $14,000.00 - $18,000.00 al mesTrabajar desde casa:No"
Desarrollador Genexus,Optimissa,"¿Quiénes somos?

Optimissa Capital Markets es una compañía multinacional, joven e innovadora, especializada en Mercados de Capital, con oficinas en Madrid, Barcelona, Reino Unido y México.

Nuestros Proyectos

Se caracterizan por un alto grado de complejidad, realizando labores de arquitectura, análisis y desarrollo. Construimos aplicaciones ad-hoc y producto propio para áreas de inversión de las principales entidades financieras.

Candidatura

Actualmente buscamos a un Desarrollador Genexus para trabajar con uno de nuestros principales clientes del sector financiero

Características y Responsabilidades del puesto:

· + 5 años de desarrollo de aplicaciones con Genexus evo 3 o superior con generador C#
· + 2 años de experiencia con Genexus 9 con generador Java
· + 2 años de desarrollo de aplicaciones con C# en Visual Estudio
· +1 año de conocimiento de adminbistracion y configuración de IIS
· + 1 año en configuración de base de datos SQL Server 2012
· Experiencia con migración de aplicaciones
· Conocimiento de Tomcat y Apache
· Preferentemente haber trabajado en Sector Bancario

Si has seguido leyendo hasta aquí, cumples los requisitos y te gustaría formar parte del equipo Optimissa Mx, por favor envíanos tu CV actualizado a ligia(dot)padilla(at)optimissa(dot)com

¡Únete a Optimissa!"
Desarrollador de Software,Taltere,"Ingeniero de Desarrollo de SoftwareBuscamos: · Ing. Sistemas, Lic. en Informática o afín.· Al menos 3 años habiendo colaborado en al menos tres proyectos exitosos de aplicaciones web empresariales.· Inglés: Técnico, Lectura/escrituraConocimientos Requeridos· Dominio avanzado de al menos un lenguaje de programación.· Dominio de SQL.· Diseño y programación con bases de datos relacionales.· Experiencia comprobable en proyectos de desarrollo de sistemas y soporte a clientes de los sistemas implementados.· Desarrollo web mediante HTML 5, CSS3, AJAX y JavaScript.· POO (Programación Orientada a Objetos)Conocimientos Deseables.· Experiencia en implementación profesional de sistemas empresariales.· PROGRESS OpenEdge, PROGRESS RDBMS.· Conocimiento de materia de procesos de Recursos Humanos y Nómina.Principales Funciones: · Documentación técnica y de usuario de sistemas desarrollados.· Análisis y desarrollo de aplicaciones de software basadas en web· Pruebas de desarrollo realizados.· Soporte y mantenimiento de proyectos entregadosOfrecemos: · Sueldo base mensual entre $18,000 - $25,000 mensuales brutos con base a experiencia.· Prestaciones de ley.· Esquema 100% Nominal· Contrato directo con la empresa y de planta.· Zona de Trabajo: Col. Ladrón de Guevara, Guadalajara, Jalisco.Para postularte, nos puedes hacer llegar tu currículum al correo gerardo(punto)cervantes(arroba)taltere(punto)com indicando en el asunto “Ingeniero Desarrollo”Tipo de puesto: Tiempo completo, IndefinidoSalario: $18,000.00 - $25,000.00 al mesHorario:Turno de 8 horasTrabajar desde casa:Sí, temporalmente debido a la COVID-19"
Desarrollador back end Java 8,Hireline,"Plataforma de telecomunicacioones parter de TELCEL está en búsqueda de:
Desarrollador Back End Java
2 AÑOS de experiencia Java 8 (Conexiones a base de datos, hilos, herencia, colecciones)


Spring Framework
Base de datos SQL o NoSQL, MySQL, Oracle, Mongo
Interactuado con servicios web SOAP y REST crear (Clientes y servidores)
Springboot, Spring MVC, Spring Security, Spring Data, Spring Cloud
Procesos Batch
Pools de hilos
Jenkins, GIT, Cloud (Google Cloud, AWS), Linux
Kubernetes o Docker
Que sepan testing (Junit)


Conocimiento en base de datos SQL o NoSQL (Por ejemplo: MySQL, Oracle, Mongo, Redis o Cassandra)
Experiencia interactuado con servicios SOAP y REST (crear Clientes y servidores)


INDISPENSABLE:


Springboot, Spring MVC, Spring Security, Spring Data, Spring Cloud
Procesos Batch
Pools de hilos
Testing (Junit)
Conocimientos deseables:


Jenkins, GIT, Cloud (Google Cloud, AWS),
Sistemas Linux
Kubernetes o Docker"
Desarrollador de Software,"Taltere, SA de CV","Ingeniero de Desarrollo de Software
Buscamos:
· Ing. Sistemas, Lic. en Informática o afín.
· Al menos 3 años habiendo colaborado en al menos tres proyectos exitosos de aplicaciones web empresariales.
· Inglés: Técnico, Lectura/escritura

Conocimientos Requeridos

· Dominio avanzado de al menos un lenguaje de programación.
· Dominio de SQL.
· Diseño y programación con bases de datos relacionales.
· Experiencia comprobable en proyectos de desarrollo de sistemas y soporte a clientes de los sistemas implementados.
· Desarrollo web mediante HTML 5, CSS3, AJAX y JavaScript.
· POO (Programación Orientada a Objetos)

Conocimientos Deseables.

· Experiencia en implementación profesional de sistemas empresariales.
· PROGRESS OpenEdge, PROGRESS RDBMS.
· Conocimiento de materia de procesos de Recursos Humanos y Nómina.

Principales Funciones:
· Documentación técnica y de usuario de sistemas desarrollados.
· Análisis y desarrollo de aplicaciones de software basadas en web
· Pruebas de desarrollo realizados.
· Soporte y mantenimiento de proyectos entregados

Ofrecemos:
· Sueldo base mensual entre $18,000 - $25,000 mensuales brutos con base a experiencia.
· Prestaciones de ley.
· Esquema 100% Nominal
· Contrato directo con la empresa y de planta.
· Zona de Trabajo: Col. Ladrón de Guevara, Guadalajara, Jalisco.

Para postularte, nos puedes hacer llegar tu currículum al correo gerardo(punto)cervantes(arroba)taltere(punto)com indicando en el asunto “ Ingeniero Desarrollo ”"
